"Debug","UTS","CurrentRace__AtabCode","CurrentRace__BrisCode","CurrentRace__TrackType","CurrentRace__RaceNum","CurrentRace__Mtp","CurrentRace__PostTime","CurrentRace__FirstPostTime","CurrentRace__RaceStatus","CurrentRace__Status","CurrentRace__DisplayName","CurrentRace__TrackCanceled","CurrentRace__WageringAvailable","CurrentRace__AllowsConditionalWagering"
"off","1590293577705","AUS","aus","Thoroughbred","7","0","2020-05-24T00:10:30-04:00","2020-05-23T20:30:47-04:00","Off","Open","Australia A-Ipswich","False","True","True"
"","","AUB","aub","Thoroughbred","5","23","2020-05-24T00:35:58-04:00","2020-05-23T22:01:28-04:00","Open","Open","Australia B-Nowra","False","True","True"
"","","AUC","auc","Thoroughbred","4","7","2020-05-24T00:19:59-04:00","2020-05-23T22:27:26-04:00","Open","Open","Australia C-Muswellbrook","False","True","True"
"","","AUD","aud","Thoroughbred","3","3","2020-05-24T00:15:00-04:00","2020-05-23T23:04:59-04:00","Open","Open","Australia D-Ballarat","False","True","True"
"","","AU1","au1","Harness","4","0","2020-05-24T00:07:56-04:00","2020-05-23T22:17:47-04:00","Off","Open","Australia Harness","False","True","False"
"","","TWN","ct","Thoroughbred","9","0","2020-05-23T23:19:42-04:00","2020-05-23T19:16:12-04:00","Closed","Closed","Charles Town","False","True","True"
"","","CHD","cd","Thoroughbred","11","0","2020-05-23T18:21:19-04:00","2020-05-23T13:04:54-04:00","Closed","Closed","Churchill Downs","False","True","True"
"","","GGD","gg","Thoroughbred","9","0","2020-05-23T20:10:26-04:00","2020-05-23T15:49:20-04:00","Closed","Closed","Golden Gate Fields","False","True","True"
"","","GPL","gp","Thoroughbred","11","0","2020-05-23T18:03:42-04:00","2020-05-23T12:52:41-04:00","Closed","Closed","Gulfstream Park","False","True","True"
"","","HKS","st","Thoroughbred","1","18","2020-05-24T00:30:01-04:00","2020-05-24T00:30:01-04:00","Open","Open","HK Sha Tin","False","True","True"
"","","DBN","IG2","Greyhound","15","0","2020-05-23T21:38:56-04:00","2020-05-23T18:32:05-04:00","Closed","Closed","Iowa Eve","False","True","False"
"","","JNN","sp9","Thoroughbred","7","7","2020-05-24T00:19:00-04:00","2020-05-23T21:07:00-04:00","Open","Open","Japan JRA Racing","False","True","True"
"","","LSE","ls","Thoroughbred","9","0","2020-05-23T20:09:22-04:00","2020-05-23T16:07:59-04:00","Closed","Closed","Lone Star Park","False","True","True"
"","","LQN","la","Thoroughbred","8","4","2020-05-24T00:16:55-04:00","2020-05-23T21:04:48-04:00","Open","Open","Los Alamitos QH","False","True","True"
"","","IVN","pb2","Greyhound","15","0","2020-05-23T22:44:43-04:00","2020-05-23T19:05:35-04:00","Closed","Closed","Palm Beach Eve","False","True","False"
"","","IVM","pb1","Greyhound","15","0","2020-05-23T16:38:41-04:00","2020-05-23T13:04:44-04:00","Closed","Closed","Palm Beach Mat","False","True","False"
"","","RED","rp","Thoroughbred","11","0","2020-05-23T23:39:49-04:00","2020-05-23T19:01:38-04:00","Closed","Closed","Remington Park","False","True","True"
"","","RUD","rui","Thoroughbred","14","0","2020-05-23T19:24:01-04:00","2020-05-23T14:02:31-04:00","Closed","Closed","Ruidoso","False","True","True"
"","","SAD","sa","Thoroughbred","9","0","2020-05-23T19:55:39-04:00","2020-05-23T15:31:44-04:00","Closed","Closed","Santa Anita","False","True","True"
"","","ETE","scd","Harness","12","0","2020-05-23T22:21:57-04:00","2020-05-23T18:36:12-04:00","Closed","Closed","Scioto Downs","False","True","False"
"","","JDM","op1","Greyhound","14","0","2020-05-23T16:06:41-04:00","2020-05-23T12:38:23-04:00","Closed","Closed","St Johns  Mat","False","True","False"
"","","JDN","op2","Greyhound","14","0","2020-05-23T23:16:22-04:00","2020-05-23T19:48:27-04:00","Closed","Closed","St Johns Eve","False","True","False"
"","","TAM","tam","Thoroughbred","9","0","2020-05-23T16:53:55-04:00","2020-05-23T12:38:56-04:00","Closed","Closed","Tampa Bay Downs","False","True","True"
"","","MXS","lap","Thoroughbred","10","0","2020-05-23T16:21:16-04:00","2020-05-23T11:02:39-04:00","Closed","Closed","URU Las Piedras","False","True","True"
